,scr_selcode,sub_name,scr_period
140,0056,成本與管理會計(二),(一)06-08 商206 張森河
141,0079,投資學,(一)02-04 商309 鄭銘源
142,0061,班級活動,(一)09-10 商303 康淑珍
143,0067,租稅法,(一)06-08 商308 林嬌能
144,0070,班級活動,(一)09-10 商306 王光華
145,0073,行銷管理,(一)06-08 商306 王婉禎
146,0103,商業會計法,(一)02-04 商202 蕭子誼
147,0097,高等會計學(二)實習,(一)06-07 商403
148,0111,財務報表分析,(一)02-04 商203 黃娟娟
149,2383,班級活動,"(一)09-10 商309 賴文祥,曾欽正"
150,4277,全民國防教育軍事訓練(二),"(一)03-04 學219(第九國會廳) 賴金燕,賴昆厚"
151,2388,班級活動,"(一)09-10 商302 仇介民,滿肇怡"
152,2398,統計學(二),(一)02-04 商305 劉峰旗
153,2413,企業電子化,(一)11-13 行政二館104-電腦實室 張道平
154,2403,商事法,(一)06-08 忠B01 林孟玲
155,2407,管理科學,(一)03-04 商207 (二)10     商301(電腦實習室) 曾欽正
156,2419,企業倫理與社會責任,(一)02-04 商401 張美燕
157,2422,管理資訊系統,(一)06-08 商304 仇介民
158,2427,管理資訊系統,(一)07-09 商311 陳建文
159,2440,企業管理實務,(一)11-13 科航205 劉平文
160,0124,班級活動,"(一)09-10 商405 梁馨予,邱世寬"
161,0127,會計學(二),(一)06-08 商405 盧鈺欣
162,0129,班級活動,"(一)09-10 商304 羅芳怡,陳信宏"
163,0131,國際貿易與經營導論,"(一)01-02 商207 劉翁昆,韓宜"
164,0134,班級活動,"(一)09-10 商207 許鈺珮,劉翁昆"
165,0138,會計學(二)實習,(一)01-02 商402
166,0139,班級活動,(一)09-10 商308 董正玫
167,0165,全球化經濟與貿易分析,(一)06-08 商207 許鈺珮
168,0168,商用英文會話(二),(一)06-08 商302 林慧洙
169,0172,大陸與東協經貿法,(一)06-08 商305 張格明
170,0148,班級活動,(一)09-10 商104 林呈昱
171,0157,班級活動,(一)09-10 商305 黃秀英
172,0173,班級活動,(一)05     商308 王若愚
173,0174,全球行銷管理,(一)02-04 商308 林呈昱
174,0189,商業溝通,(一)11-13 商302 林慧洙
175,0177,班級活動,(一)05     商306 吳廣文
176,0178,全球行銷管理,(一)02-04 商404 吳廣文
177,0182,班級活動,(一)05     商302 韓宜
178,0183,國際企業管理,(一)02-04 商104 邱世寬
179,0209,國際市場開發與管理,(一)02-04 商409 黃秀英
180,0216,全球財務管理專題,(一)02-04 商808A 江怡蒨
181,0809,班級活動,"(一)09     商204 吳廣文,蔡耀德"
182,0812,多元文化,(一)03     人202 張峯碩
183,0814,創意思考,(一)04     人202 張峯碩
184,0815,會計學(二),(一)06-08 商204 邱安安
185,0818,經濟學(二)實習,(一)01-02 人606
186,0827,統計學(二)實習,(一)03-04 商107
187,0830,英文專業書報研讀,(一)07-09 商107 陳彥京
188,4394,產業與策略管理個案研討,(一)06-08 商1202 董正玫
189,0392,會計學(二)實習,(一)08-09 語207 廖偉嘉
190,0394,微積分(二),(一)03-04 商302 方源
191,0395,APPS程式設計,(一)01-02 商301(電腦實習室) 陳家豪
192,0402,微積分(二),(一)01-02 語102 張其棟
193,0403,APPS程式設計,(一)06-07 圖213 陳重宏
194,0409,租稅法(二),(一)02-04 商405 洪國仁
195,0419,個體經濟學(二),(一)07-09 商106 吳朝欽
196,0416,租稅法(二),(一)02-04 商306 黃瓊如
197,0421,班級活動,(一)05     商402 謝耀智
198,0422,所得稅理論與制度,(一)03-04 商402 謝耀智
199,0438,土地稅,(一)06-08 商303 陳金元
200,0430,所得稅理論與制度,(一)03-04 商408 吳朝欽
201,0434,專業外語,(一)01-02 商408 李參
202,0445,公共支出理論,(一)02-04 商1111 何艷宏
203,0451,國際租稅,(一)07-09 商1111 謝耀智
204,0493,班級活動,"(一)08-09 商201 高秀蘭,魏裕中"
205,0496,統計學(二)實習,(一)06-07 商201 王怡晴
206,0499,班級活動,"(一)08-09 商402 王婉倫,李仁佑"
207,0502,統計學(二)實習,(一)06-07 商402 楊子萱
208,0506,班級活動,(一)09     語404 吳榮彬
209,0507,財務管理實習,(一)01     商204
210,0508,財務管理,(一)02-04 商204 江耕南
211,0511,會計學(二)實習,(一)07-08 語404 張巧旻
212,0523,資料庫管理,(一)11-13 紀207(電腦實習室) 王健亞
213,0514,班級活動,(一)09     商401 林文欽
214,0517,統計資料分析,(一)02-04 商106 吳榮彬
215,0520,會計學(二),(一)06-08 商401 鄭竹君
216,0538,總體經濟學,(一)02-04 商208 徐繼達
217,0545,可信度理論,(一)06-08 商1011 林麗芬
218,0547,品質工程,(一)06-08 商1013 李燊銘
219,0557,班級活動,"(一)08-09 語302 陳瓊怜,陳善瑜"
220,0563,班級活動,"(一)08-09 語403 賴宗志,郭祐誠"
221,0569,班級活動,(一)07     商205 王葳
222,0570,個體經濟學(二),(一)02-04 商205 胡士文
223,0573,統計學(二)實習,(一)08-09 商205 王怡晴
224,0575,總體經濟學(二)實習,(一)06     商311
225,0576,班級活動,(一)07     商102 陳至還
226,0580,統計學(二)實習,(一)08-09 商102 李潔
227,0581,總體經濟學(二),(一)02-04 商201 陳至還
228,4311,證券投資學,(一)02-04 商304 葉志權
